symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,Car Size
3,121,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486304661,0.890277777777778,0.816053511705686,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,11.1904761904762,9.37037037037037,low,0,1,0.589310980360434
3,121,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486304661,0.890277777777778,0.816053511705686,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,11.1904761904762,9.37037037037037,low,0,1,0.589310980360434
1,121,alfa-romero,std,two,hatchback,rwd,front,94.5,0.822681403171552,0.909722222222222,0.876254180602007,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500,12.3684210526316,9.73076923076923,medium,0,1,0.655798753243544
2,164,audi,std,four,sedan,fwd,front,99.8,0.848630466122057,0.919444444444444,0.908026755852843,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,9.79166666666667,8.43333333333333,low,0,1,0.708504736006669
2,164,audi,std,four,sedan,4wd,front,99.4,0.848630466122057,0.922222222222222,0.908026755852843,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,13.0555555555556,11.5,low,0,1,0.710645233698532
2,121,audi,std,two,sedan,fwd,front,99.8,0.851994233541567,0.920833333333333,0.887959866220736,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,12.3684210526316,10.12,low,0,1,0.696644198023526
1,158,audi,std,four,sedan,fwd,front,105.8,0.925997116770783,0.991666666666667,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,12.3684210526316,10.12,low,0,1,0.855321444968197
1,121,audi,std,four,wagon,fwd,front,105.8,0.925997116770783,0.991666666666667,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,12.3684210526316,10.12,low,0,1,0.855321444968197
1,158,audi,turbo,four,sedan,fwd,front,105.8,0.925997116770783,0.991666666666667,0.934782608695652,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,13.8235294117647,12.65,medium,0,1,0.858392617122482
2,192,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,0.9,0.908026755852843,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,10.2173913043478,8.72413793103448,low,0,1,0.69430666694524
0,192,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,0.9,0.908026755852843,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,10.2173913043478,8.72413793103448,low,0,1,0.69430666694524
0,188,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,0.9,0.908026755852843,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,11.1904761904762,9.03571428571429,medium,0,1,0.69430666694524
0,188,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,0.9,0.908026755852843,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,11.1904761904762,9.03571428571429,medium,0,1,0.69430666694524
1,121,bmw,std,four,sedan,rwd,front,103.5,0.90821720326766,0.929166666666667,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,11.75,10.12,medium,0,1,0.786026804870954
0,121,bmw,std,four,sedan,rwd,front,103.5,0.90821720326766,0.929166666666667,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760,14.6875,11.5,medium,0,1,0.786026804870954
0,121,bmw,std,two,sedan,rwd,front,103.5,0.931283037001442,0.943055555555556,0.897993311036789,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315,14.6875,11.5,medium,0,1,0.788664099778374
0,121,bmw,std,four,sedan,rwd,front,110,0.94666025949063,0.984722222222222,0.941471571906355,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,15.6666666666667,12.65,medium,0,1,0.877637346246972
2,121,chevrolet,std,two,hatchback,fwd,front,88.4,0.678039404132629,0.8375,0.889632107023411,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,5,4.77358490566038,low,0,1,0.505184709885105
1,98,chevrolet,std,two,hatchback,fwd,front,94.5,0.749159058145123,0.883333333333333,0.869565217391304,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,6.18421052631579,5.88372093023256,low,0,1,0.575441015676688
